Systematic ID	Length (nt)	Gene name	Strand	Start	End	Gene synonym	LT2 orthologue	14028 orthologue	ST4-74 orthologue	UK-1 orthologue	D23580 orthologue	EMBL product	Genbank product	Genbank note	PubMed ID
SL0854	1113	potF	+	947645	948757		STM0877	STM14_1028	STM474_0902	STMUK_0883	STMMW_09281	putrescine-binding periplasmic protein precursor	putrescine ABC transporter periplasmic-binding protein	similar to E. coli periplasmic putrescine-binding protein; permease protein (AAC73941.1); ABC superfamily periplasmic protein	
SL0855	1134	potG	+	948845	949978		STM0878	STM14_1029	STM474_0903	STMUK_0884	STMMW_09291	putrescine transport ATP-binding protein PotG	putrescine ABC transporter ATP-binding protein	part of the PotFGHI ATP-dependent putrescine transporter	
SL0856	954	potH	+	949988	950941		STM0879	STM14_1030	STM474_0904	STMUK_0885	STMMW_09301	putrescine transport system permease protein PotH	putrescine ABC transporter membrane protein	similar to E. coli putrescine transport protein; permease (AAC73943.1); ABC superfamily membrane protein	
SL0857	846	potI	+	950938	951783		STM0880	STM14_1031	STM474_0905	STMUK_0886	STMMW_09311	putrescine transport system permease protein PotI	putrescine ABC transporter membrane protein	similar to E. coli putrescine transport protein; permease (AAC73944.1); ABC superfamily membrane protein	
SL0858	474	ybjO	+	951857	952330		STM0881	STM14_1032	STM474_0906	STMUK_0887	STMMW_09321	hypothetical membrane protein			
SL0859	1131	rumB	+	952373	953503	ybjF	STM0882	STM14_1033	STM474_0907	STMUK_0888	STMMW_09331	hypothetical RNA methyltransferase	23S rRNA methyluridine methyltransferase	RNA uridine methyltransferase B; catalyzes the formation of 5-methyl-uridine at position 747 in 23S rRNA	
SL0860	1344		+	953786	955129		STM0884	STM14_1035	STM474_0908	STMUK_0889	STMMW_09341	possible transport protein	PTS system ascorbate-specific transporter subunit IIC	membrane component; functions with enzymes IIB (sgaB; ulaB) and IIA (sgaA; ulaC) enzyme I and HPr for anaerobic utilization and uptake of L-ascorbate; sgaTBA are regulated by yifQ as well as Crp and Fnr	
SL0861	321		+	955159	955479		STM0885	STM14_1036	STM474_0909	STMUK_0890	STMMW_09351	"hypothetical phosphotransferase enzyme II, B component"		similar to SgaT from Vibrio	
SL0862	1488		+	955489	956976		STM0886	STM14_1037	STM474_0910	STMUK_0891	STMMW_09361	probable sulfatase		similar to E. coli sulfatase (AAC76701.1)	
SL0863	732	artJ	-	957195	957926		STM0887	STM14_1039	STM474_0911	STMUK_0892	STMMW_09371	arginine-binding periplasmic protein 2 precursor	arginine transport system component	similar to E. coli arginine 3rd transport system periplasmic binding protein (AAC73947.1); ABC superfamily binding protein	
SL0864	669	artM	-	958163	958831		STM0888	STM14_1040	STM474_0912	STMUK_0893	STMMW_09381	arginine transport system permease protein ArtM	arginine transporter permease subunit ArtM	with ArtPQJI acts to transport arginine across the inner membrane	
SL0865	717	artQ	-	958831	959547		STM0889	STM14_1041	STM474_0913	STMUK_0894	STMMW_09391	arginine transport system permease protein ArtQ	arginine transporter permease subunit ArtQ	with ArtPMJI transports arginine across the inner membrane	
SL0866	732	artI	-	959554	960285		STM0890	STM14_1042	STM474_0914	STMUK_0895	STMMW_09401	arginine-binding periplasmic protein 1 precursor		similar to E. coli arginine 3rd transport system periplasmic binding protein (AAC73950.1); ABC superfamily binding protein	
SL0867	729	artP	-	960303	961031		STM0891	STM14_1043	STM474_0915	STMUK_0896	STMMW_09411	arginine transport ATP-binding protein ArtP	arginine transporter ATP-binding subunit	With ArtMQJI transports arginine across the inner membrane	
SL0868	516	ybjP	-	961261	961776		STM0892	STM14_1044	STM474_0916	STMUK_0897	STMMW_09421	probable lipoprotein		induced during stationary phase and by acivicin (a glutamine analog); regulated by Lrp and RpoS	
SL0869	324		+	961904	962227		STM0930	STM14_1045	STM474_0917	STMUK_0898	STMMW_09431	conserved hypothetical protein			
SL0870	831	ybjR	+	962224	963054		STM0931	STM14_1046	STM474_0918	STMUK_0899	STMMW_09441	hypothetical N-acetylmuramoyl-L-alanine amidase		similar to E. coli regulator (AAC73954.1)	
SL0871	1014		-	963051	964064		STM0932	STM14_1047	STM474_0919	STMUK_0900	STMMW_09451	hypothetical oxidoreductase		similar to E. coli nucleotide di-P-sugar epimerase or dehydratase (AAC73955.1)	
SL0872	1434	ybjT	-	964160	965593		STM0933	STM14_1048	STM474_0920	STMUK_0901	STMMW_09461	conserved hypothetical protein		similar to E. coli dTDP-glucose enzyme (AAC73956.1)	
SL0873	1002	ltaA	-	965604	966605	ybjU	STM0934	STM14_1049	STM474_0921	STMUK_0902	STMMW_09471	L-allo-threonine aldolase	L-threonine aldolase	"low- specificity; catalyzes the formation of acetaldehyde and glycine from L-threonine; acts on L-threonine, L-allo-threonine, L-threo-phenylserine, and L-erythro-phenylserine"	
SL0874	1719	poxB	-	966644	968362		STM0935	STM14_1050	STM474_0922	STMUK_0903	STMMW_09481	pyruvate dehydrogenase		catalyzes the formation of acetate from pyruvate	
SL0875	972	hcr	-	968520	969491	nipA	STM0936	STM14_1051	STM474_0923	STMUK_0904	STMMW_09491	"hybrid-cluster protein oxidoreductase-FAD and [2FE-2S] cofactors, NADH as electron donor"	HCP oxidoreductase	similar to E. coli enzyme (AAC73959.1); hcp gene product	12761099
SL0876	1653	hcp	-	969500	971152	nipB	STM0937	STM14_1052	STM474_0924	STMUK_0905	STMMW_09501	"hydroxylamine reductase, hybrid cluster [2Fe-2S] protein"		catalyzes the reduction of hydroxylamine to ammonia and water	12761099
SL0877	792	ybjE	-	971296	972087		STM0938	STM14_1054	STM474_0925	STMUK_0906	STMMW_09511	hypothetical membrane protein		similar to E. coli surface protein (AAC73961.1)	
SL0878	1659	ybjD	+	972397	974055		STM0939	STM14_1056	STM474_0926	STMUK_0907	STMMW_09521	conserved hypothetical protein		similar to RecF protein	
SL0879	969	ybjX	-	974052	975020		STM0940	STM14_1057	STM474_0927	STMUK_0908	STMMW_09531	hypothetical virK protein	VirK-like protein	similar to E. coli enzyme (AAC73964.1)	
SL0880	1119	ybjY	+	975148	976266		STM0941	STM14_1058	STM474_0928	STMUK_0909	STMMW_09541	hypothetical exported protein	macrolide transporter subunit MacA	confers macrolide resistance via active drug efflux	
SL0881	1947	ybjZ	+	976263	978209		STM0942	STM14_1059	STM474_0929	STMUK_0910		conserved hypothetical ABC transporter	macrolide transporter ATP-binding /permease	with MacA is involved in the export of macrolide	
SL0882	222	cspD	-	978339	978560		STM0943	STM14_1062	STM474_0930	STMUK_0911	STMMW_09561	cold shock-like protein CspD	stress response protein	similar to E. coli cold shock protein CspA (AAC73967.1); stationary phase-induced	
SL0883	321	clpS	+	978884	979204	yljA	STM0944	STM14_1063	STM474_0931	STMUK_0912	STMMW_09571	conserved hypothetical protein	ATP-dependent Clp protease adaptor protein ClpS	involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation; binds to the N-terminal domain of the chaperone ClpA	
SL0884	2277	clpA	+	979235	981511		STM0945	STM14_1064	STM474_0932	STMUK_0913	STMMW_09581	ATP-dependent Clp protease ATP-binding subunit ClpA		ATPase and specificity subunit of the ClpA-ClpP ATP dependent serine protease; directs protease to specific substrates	
SL0885	459	tnp	+	981703	982161		STM0946	-	-	-	STMMW_34701	transposase for the IS1541 insertion element			
SL0886	684		-	982624	983307		STM0947	STM14_1068	STM474_0934	STMUK_0915	STMMW_09601	hypothetical integrase protein		similar to E. coli IS150 transposase (AAC76582.1)	
SL0887	402		-	983478	983879		STM0948	STM14_1070	STM474_0935	STMUK_0916	STMMW_09611	"ISPsy11, transposase OrfA"	hypothetical protein		
SL0888	678		-	984216	984893		STM0950	STM14_1072	STM474_0937	STMUK_0918	STMMW_09621	conserved hypothetical protein		similar to slsA in STM (gi|4324613); similar to STM3761	
SL0889	861		-	984913	985773		STM0951	STM14_1073	STM474_0938	STMUK_0919	STMMW_09631	hypothetical pirin-related protein	hypothetical protein		
SL0890	912		+	985882	986793		STM0952	STM14_1074	STM474_0939	STMUK_0920	STMMW_09641	hypothetical transcriptional activator		similar to E. coli transcriptional regulator LysR-type (AAC73313.1); LysR family	
SL0891	219	infA	-	986884	987102		STM0953	STM14_1075	STM474_0940	STMUK_0921	STMMW_09651	initiation factor IF-1	translation initiation factor IF-1	"stimulates the activities of the other two initiation factors, IF-2 and IF-3"	
SL0892	330		-	987030	987359		STM0954	STM14_1076	STM474_0941	STMUK_0922	STMMW_09661	inner membrane protein			
SL0893	705	aat	-	987414	988118		STM0955	STM14_1077	STM474_0942	STMUK_0923	STMMW_09671	leucyl/phenylalanyl-tRNA-protein transferase	leucyl/phenylalanyl-tRNA--protein transferase	"leucyltransferase; phenylalanyltransferse; functions in the N-end rule pathway; transfers Leu, Phe, Met, from aminoacyl-tRNAs to N-terminal of proteins with Arg or Lys"	
SL0894	1722	cydC	-	988163	989884		STM0956	STM14_1078	STM474_0943	STMUK_0924	STMMW_09681	transport ATP-binding protein CydC	cysteine/glutathione ABC transporter membrane/ATP-binding protein	in E. coli the CydCD ABC transporter exports cysteine and glutathione into the periplasm in order to maintain redox balance; important for cytochrome bd and c	
SL0895	1767	cydD	-	989885	991651		STM0957	STM14_1079	STM474_0944	STMUK_0925	STMMW_09691	transport ATP-binding protein CydD	cysteine/glutathione ABC transporter membrane/ATP-binding protein	in E. coli the CydCD ABC transporter exports cysteine and glutathione into the periplasm in order to maintain redox balance; important for cytochrome bd and c	
SL0896	969	trxB	-	991765	992733		STM0958	STM14_1080	STM474_0945	STMUK_0926	STMMW_09701	thioredoxin reductase		catalyzes the transfer of electrons from NADPH to thioredoxin; FAD/NAD(P) binding	
SL0897	495	lrp	+	993279	993773		STM0959	STM14_1083	STM474_0946	STMUK_0927	STMMW_09711	leucine-responsive regulatory protein	leucine-responsive transcriptional regulator	mediates a global response to leucine; acts as a regulator for several genes involved in the high-affinity branched-chain amino acid transport system	
SL0898	4086	ftsK	+	993908	997993		STM0960	STM14_1084	STM474_0947	-	STMMW_09721	cell division protein FtsK	DNA translocase FtsK	DNA-binding membrane protein required for chromosome resolution and partitioning	
SL0899	615	lolA	+	998133	998747		STM0961	STM14_1085	STM474_0948	STMUK_0928	STMMW_09731	outer membrane lipoprotein carrier protein precursor	outer-membrane lipoprotein carrier protein	participates with LolB in the incorporation of lipoprotein into the outer membrane	
SL0900	1344	ycaJ	+	998757	1000100		STM0962	STM14_1086	STM474_0949	STMUK_0929	STMMW_09741	conserevd hypothetical protein	recombination factor protein RarA	similar to E. coli polynucleotide enzyme (AAC73978.1)	
SL0901	1293	serS	+	1000359	1001651		STM0963	STM14_1088	STM474_0950	STMUK_0930	STMMW_09751	seryl-tRNA synthetase		"catalyzes a two-step reaction, first charging a serine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA"	
SL0902	2445	dmsA	+	1001888	1004332		STM0964	STM14_1089	STM474_0951	STMUK_0931	STMMW_09761	anaerobic dimethyl sulfoxide reductase chain A precursor	anaerobic dimethyl sulfoxide reductase subunit A		
SL0903	618	dmsB	+	1004343	1004960		STM0965	STM14_1090	STM474_0952	STMUK_0932	STMMW_09771	anaerobic dimethyl sulfoxide reductase chain B	anaerobic dimethyl sulfoxide reductase subunit B		
SL0904	864	dmsC	+	1004962	1005825		STM0966	STM14_1091	STM474_0953	STMUK_0933	STMMW_09781	anaerobic dimethyl sulfoxide reductase chain C	anaerobic dimethyl sulfoxide reductase subunit C		
SL0905	1149	ycaD	+	1006175	1007323		STM0968	STM14_1094	STM474_0954	STMUK_0934	STMMW_09791	probable transport protein	MFS family transporter protein	similar to E. coli transport (AAC73984.1); MFS family	
SL0906	1422	ycaM	+	1007541	1008962		STM0969	STM14_1095	STM474_0955	STMUK_0935	STMMW_09801	probable transport protein		similar to E. coli transport (AAC73985.1); APC family	
SL0907	825	pflA	-	1009255	1010079		STM0970	STM14_1096	STM474_0956	STMUK_0936	STMMW_09811	pyruvate formate-lyase 1 activating enzyme	pyruvate formate lyase-activating enzyme 1	activates pyruvate formate-lyase 1 under anaerobic conditions	
SL0908	327		-	1010171	1010497		STM0971	STM14_1097	STM474_0957	STMUK_0937	STMMW_09821	hypothetical conserved hypothetical protein			
SL0909	960	sopD2	+	1010628	1011587		STM0972	STM14_1098	STM474_0958	STMUK_0938	STMMW_09831	type III secretion system effector protein	SopD-like protein		
SL0910	2283	pflB	-	1011663	1013945		STM0973	STM14_1099	STM474_0959	STMUK_0939	STMMW_09841	formate acetyltransferase 1		similar to E. coli formate acetyltransferase 1 (AAC73989.1); induced anaerobically	
SL0911	858	focA	-	1014005	1014862		STM0974	STM14_1100	STM474_0960	STMUK_0940	STMMW_09851	probable formate transporter (formate channel)		similar to E. coli probable formate transporter; formate channel 1 (AAC73990.1); FNT family	
SL0912	1761	ycaO	-	1015267	1017027		STM0975	STM14_1101	STM474_0961	STMUK_0941	STMMW_09861	conserved hypothetical protein			
SL0913	693	ycaP	+	1017164	1017856		STM0976	STM14_1103	STM474_0962	STMUK_0942	STMMW_09871	hypothetical membrane protein			
SL0914	1089	serC	+	1018042	1019130		STM0977	STM14_1105	STM474_0963	STMUK_0943	STMMW_09881	phosphoserine aminotransferase		catalyzes the formation of 3-phosphonooxypyruvate and glutamate from O-phospho-L-serine and 2-oxoglutarate; required both in major phosphorylated pathway of serine biosynthesis and in the biosynthesis of pyridoxine	
SL0915	1284	aroA	+	1019201	1020484		STM0978	STM14_1106	STM474_0964	STMUK_0944	STMMW_09891	3-phosphoshikimate 1-carboxyvinyltransferase		catalyzes the formation of 5-O-(1-carboxyvinyl)-3-phosphoshikimate from phosphoenolpyruvate and 3-phosphoshikimate in tryptophan biosynthesis	
SL0916	762	ycaL	+	1020627	1021388		STM0979	STM14_1107	STM474_0965	STMUK_0945	STMMW_09901	hypothetical lipoprotein		similar to E. coli heat shock protein (AAC73995.1); has chaperone function	
SL0917	684	cmk	+	1021561	1022244		STM0980	STM14_1109	STM474_0966	STMUK_0946	STMMW_09911	cytidylate kinase		Catalyzes the formation of (d)CDP from ATP and (d)CMP	
SL0918	1674	rpsA	+	1022358	1024031		STM0981	STM14_1110	STM474_0967	STMUK_0947	STMMW_09921	30S ribosomal protein S1		in E. coli this protein is involved in binding to the leader sequence of mRNAs and is itself bound to the 30S subunit; autoregulates expression via a C-terminal domain; in most gram negative organisms this protein is composed of 6 repeats of the S1 domain while in gram positive there are 4 repeats; the S1 nucleic acid-binding domain is found associated with other proteins	
SL0919	285	himD	+	1024187	1024471	ihfB	STM0982	STM14_1111	STM474_0968	STMUK_0948	STMMW_09931	integration host factor beta-subunit (IHF-beta)	integration host factor subunit beta	"This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control"	
SL0920	2265	rec2	+	1024701	1026965	ycaI	STM0983	STM14_1112	STM474_0969	STMUK_0949	STMMW_09941	competence gene-DNA binding and transport	hypothetical protein		17068078
SL0921	1749	msbA	+	1027002	1028750		STM0984	STM14_1113	STM474_0970	STMUK_0950	STMMW_09951	probable transport ATP-binding protein MsbA	lipid transporter ATP-binding/permease	involved in the transport of lipid A across the inner membrane	
SL0922	978	lpxK	+	1028747	1029724		STM0985	STM14_1114	STM474_0971	STMUK_0951	STMMW_09961	tetraacyldisaccharide 4'-kinase		"transfers the gamma-phosphate of ATP to the 4' position of a tetraacyldisaccharide 1-phosphate intermediate to form tetraacyldisaccharide 1,4'-bis-phosphate"	
SL0923	1233	ycaQ	+	1029768	1031000		STM0986	STM14_1115	STM474_0972	STMUK_0952	STMMW_09971	conserved hypothetical protein			
SL0924	183	ycaR	+	1031052	1031234		STM0987	STM14_1116	STM474_0973	STMUK_0953	STMMW_09981	conserved hypothetical protein			
SL0925	747	kdsB	+	1031231	1031977		STM0988	STM14_1117	STM474_0974	STMUK_0954	STMMW_09991	3-deoxy-manno-octulosonate cytidylyltransferase		CMP-2-keto-3-deoxyoctulosonic acid synthetase; catalyzes the formation of CMP-3-deoxy-D-manno-octulosonate from CTP and 3-deoxy-D-manno-octulosonate which is incorporated into LPS	
SL0926	894		+	1032188	1033081		STM0989	STM14_1119	STM474_0975	STMUK_0955	STMMW_10001	conserved hypothetical protein			
SL0927	777	ycbC	-	1033061	1033837		STM0990	STM14_1120	STM474_0976	STMUK_0956	STMMW_10011	hypothetical membrane protein	hypothetical protein		
SL0928	804	smtA	+	1033973	1034776		STM0991	STM14_1121	STM474_0977	STMUK_0957	STMMW_10021	SmtA protein	metallothionein SmtA	involved in cellular zinc and cadmium homeostasis by binding excess metal ions to its cysteine sulfurs and histidine nitrogens; expression of smtA in cyanobacteria is repressed by SmtB at low concentrations of zinc; NO elicits release of Zn ions from SmtA	
SL0929	1323	mukF	+	1034769	1036091		STM0992	STM14_1122	STM474_0978	STMUK_0958	STMMW_10031	killing factor KicB	condesin subunit F	acts with MukB and MukE to condense the chromosome and allow for segregation during cell division	
SL0930	705	mukE	+	1036072	1036776		STM0993	STM14_1123	STM474_0979	STMUK_0959	STMMW_10041	KicA protein	condesin subunit E	acts with MukB and MukF to condense the chromosome and allow for segregation during cell division	
SL0931	4467	mukB	+	1036776	1041242		STM0994	STM14_1124	STM474_0980	STMUK_0960	STMMW_10051	cell division protein	cell division protein MukB	SMC (structural maintenance of chromosomes) family of proteins; involved in chromosome condensatin and partitioning; forms a homodimer and the C-terminal is essential for DNA-binding activity while the purified N-terminal domain binds FtsZ; mutations result in cell division defects	
SL0932	1842	ycbB	+	1041587	1043428		STM0995	STM14_1125	STM474_0981	STMUK_0961	STMMW_10061	hypothetical exported protein	hypothetical protein	similar to E. coli amidase (AAC74011.1)	
SL0933	549	ycbK	+	1043688	1044236		STM0996	STM14_1126	STM474_0982	STMUK_0962	STMMW_10071	outer membrane protein			16622052
SL0934	648	ycbL	+	1044264	1044911		STM0997	STM14_1127	STM474_0983	STMUK_0963	STMMW_10081	conserved hypothetical protein			
SL0935	1191	aspC	-	1044973	1046163		STM0998	STM14_1128	STM474_0984	STMUK_0964	STMMW_10091	aspartate aminotransferase	aromatic amino acid aminotransferase	catalyzes the formation of L-glutamate and an aromatic oxo acid from an aromatic amino acid and 2-oxoglutarate	
SL0936	1092	ompF	-	1046348	1047439		STM0999	STM14_1130	STM474_0985	STMUK_0965	STMMW_10101	outer membrane protein F precursor		outer membrane protein F precursor; porin; (SW:OMPF_SALTY)	
SL0937	1401	asnCa	-	1048046	1049446	asnS	STM1000	STM14_1132	STM474_0987	STMUK_0966	STMMW_10111	asparaginyl-tRNA synthetase		"catalyzes a two-step reaction, first charging an asparagine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA"	
SL0938	462		-	1049647	1050108		STM1001	STM14_1134	STM474_0988	STMUK_0967	STMMW_10121	hypothetical transcriptional regulator			
SL0939	1215	dpaL	+	1050425	1051639		STM1002	STM14_1136	STM474_0989	STMUK_0968	STMMW_10131	"diaminopropionate ammonia-lyase (ec 4.3.1.15) (diaminopropionatase) (alpha,beta-diaminopropionate ammonia-lyase)"		"catalyzes the formation of pyruvate from 2,3-diaminopropionate"	
SL0940	1437		+	1051884	1053320		STM1003	STM14_1138	STM474_0990	STMUK_0969	STMMW_10141	hypothetical ion:amino acid symporter		similar to E. coli inner membrane transport protein (AAC73118.1); Lrp family	
SL0941	1203	pncB	-	1053398	1054600		STM1004	STM14_1139	STM474_0991	STMUK_0970	STMMW_10151	nicotinate phosphoribosyltransferase (ec 2.4.2.11) (naprtase)		catalyzes the formation of nictonate and 5-phospho-alpha-D-ribose 1-diphosphate from nicotinate D-ribonucleotide and diphosphate	
SL0942	1293		-	1054795	1056087		STM1005	STM14_1140	-	STMUK_0971	STMMW_10161	bacteriophage integrase		similar to E. coli transposase (AAC74651.1)	
SL0943	249		-	1056132	1056380		STM1006	STM14_1141	-	STMUK_0972	STMMW_10171	bacteriophage excisionase			
SL0944	240		-	1056421	1056660		STM1007	STM14_1142	STM474_2747	STMUK_0973	STMMW_26541	predicted bacteriophage protein	hypothetical protein		
SL0945	1110		-	1056703	1057812		STM1008	STM14_1143	STM474_0994	STMUK_0974	STMMW_10182	predicted bacteriophage protein			
SL0946	2886	recEa	-	1057823	1060708		STM2632	STM14_1144	STM474_0995	STMUK_0975	STMMW_10191	exodeoxyribonuclease viii	exodeoxyribonuclease VIII-like protein	similar to exodeoxyribonuclease VIII (gi|7467238)	
SL0947	300		-	1060835	1061134		STM1010	STM14_1145	STM474_0996	STMUK_0976	STMMW_10201	predicted bacteriophage protein	hypothetical protein		
SL0948	159		-	1061156	1061314		STM2630	STM14_1146	STM474_2744	STMUK_2666	STMMW_10211	predicted bacteriophage protein	hypothetical protein		
SL0949	261		-	1061307	1061567		STM1011	STM14_1147	-	STMUK_0977	STMMW_10221	predicted bacteriophage protein	hypothetical protein		
SL0950	342		-	1061617	1061958		STM1012	STM14_1148	STM474_1000	STMUK_0978	STMMW_10231	predicted bacteriophage protein			
SL0951	375	C1	+	1062352	1062726		STM2627	STM14_1150	STM474_1002	STMUK_0979	STMMW_10241	transcriptional activator-regulatory protein	cI-like protein		
SL0952	984		+	1062811	1063794		STM2626	STM14_1151	STM474_1003	STMUK_0980		Gifsy-2 replication Protein O	replication protein 15-like	similar to replication protein 15 (gi|7467283)	
SL0953	750		+	1063797	1064546		STM1015	STM14_1152	STM474_1004	STMUK_0981	STMMW_10261	Phage DNA Replication Protein		acts to load the DnaB helicase onto the intiation site durning DNA replication	
SL0954	348		+	1064557	1064904		STM2624	STM14_1153	STM474_1005	STMUK_0982	STMMW_10271	predicted bacteriophage protein	hypothetical protein		
SL0955	312		+	1064901	1065212		STM2623	STM14_1154	STM474_1006	STMUK_0983	STMMW_10281	predicted bacteriophage protein	hypothetical protein		
SL0956	291		+	1065290	1065580		STM2622	STM14_1155	STM474_1007	STMUK_0984	STMMW_10291	predicted bacteriophage protein	hypothetical protein		
SL0957	234		+	1065872	1066105		STM1019	STM14_1156	STM474_1008	STMUK_0985	STMMW_10301	DNA Damage Inducible Protein	hypothetical protein		
SL0958	603		+	1066521	1067123		STM1020	STM14_1158	STM474_1009	STMUK_0986	STMMW_10311	Gifsy-2 bacteriophage protein	hypothetical protein		
SL0959	612	ninG	+	1067332	1067943		STM1021	STM14_1160	STM474_1011	STMUK_0988	STMMW_10321	ninG	hypothetical protein		
SL0960	147		+	1067940	1068086		-	STM14_1161	STM474_1012	-	STMMW_10331	predicted bacteriophage protein			
SL0961	798		+	1068076	1068873		STM1022	STM14_1162	STM474_1013	STMUK_0989	STMMW_10341	antitermination Protein q		DnaJ family	
SL0962	318		+	1068940	1069257		STM1023	STM14_1163	STM474_1014	STMUK_0990		Putative Probacteriophage Protein	hypothetical protein		
SL0963	126		+	1069431	1069556		STM1024	STM14_1164	STM474_1015	STMUK_0991	STMMW_10361	predicted bacteriophage protein	hypothetical protein		
SL0964	450		-	1069692	1070141		STM1025	STM14_1165	STM474_1016	STMUK_0992	STMMW_10371	hypothetical bacteriophage lipoprotein	hypothetical protein		
SL0965	687	gtgA	-	1070502	1071188		STM1026	STM14_1166	STM474_1017	-	STMMW_10381	hypothetical bacteriophage encoded virulence protein	hypothetical protein		
SL0965A	336		+	1071458	1071793		STM2613	-	-	-	STMMW_10392	Gifsy-2 bacteriophage holin	hypothetical protein		
SL0966	453	nucD	+	1071777	1072229		STM1028	STM14_1168	STM474_1019	STMUK_0995	STMMW_10391	hypothetical bacteriophage lysozyme		similar to E. coli bacteriophage lambda lysozyme (AAC73656.1)	
SL0967	501		+	1072226	1072726		STM1029	STM14_1169	STM474_1020	STMUK_0996	STMMW_10401	hypothetical bacteriophage lysozyme	hypothetical protein		
SL0968	534		+	1072934	1073467		STM1030	STM14_1170	STM474_1021	STMUK_0997	STMMW_10411	predicted bacteriophage protein	hypothetical protein		
SL0969	2055		+	1073508	1075562		STM1031	STM14_1171	STM474_1022	STMUK_0998	STMMW_10421	Large Subunit of Terminase	hypothetical protein		
SL0971	1548		+	1075762	1077309		STM1032	STM14_1172	STM474_1023	STMUK_1000	STMMW_10431	predicted bacteriophage protein	hypothetical protein		
SL0972	2082		+	1077233	1079314		STM1033	STM14_1173	STM474_1024	STMUK_1001	STMMW_10441	ATP Dependent clp Protease		similar to E. coli ATP-dependent proteolytic subunit of ClpA-ClpP serine protease; heat shock protein F21.5 (AAC73540.1)	
SL0973	324		+	1079405	1079728		STM1034	STM14_1174	STM474_1025	STMUK_1002	STMMW_10451	predicted bacteriophage protein	recombinase A		
SL0974	300		+	1079721	1080020		STM1035	STM14_1175	STM474_1026	STMUK_1003	STMMW_10461	predicted bacteriophage protein			
SL0975	567		+	1080001	1080567		STM1036	STM14_1176	STM474_1027	STMUK_1004	STMMW_10471	predicted bacteriophage protein			
SL0976	402		+	1080564	1080965		STM1037	STM14_1177	STM474_1028	STMUK_1005	STMMW_10481	predicted bacteriophage protein			
SL0977	687		+	1081040	1081726		STM1038	STM14_1178	STM474_1029	STMUK_1006	STMMW_10491	Tail Protein			
SL0978	399		+	1081772	1082170		STM1039	STM14_1179	STM474_1030	STMUK_1007	STMMW_10501	predicted bacteriophage protein			
SL0979	264		+	1082233	1082496		STM1040	-	-	-	STMMW_10511	predicted bacteriophage protein			
SL0980	3054		+	1082510	1085563		STM1041	STM14_1181	STM474_1032	STMUK_1009	STMMW_10521	Tape Measure		similar to lambda phage H tail component (gi|2232364)	
SL0981	333		+	1085560	1085892		STM1042	STM14_1182	STM474_1033	STMUK_1010	STMMW_10531	Minor Tail Component		similar to lambda phage M tail component (gi|2232363)	
SL0982	498		+	1085991	1086488		STM1043	STM14_1183	STM474_1034	STMUK_1011	STMMW_10541	predicted bacteriophage protein	attachment/invasion protein	similar to OmpX (gi|2232362)	
SL0983	534	sodCa	-	1086605	1087138	sodCI	STM1044	STM14_1184	STM474_1035	STMUK_1012	STMMW_10551	bacteriophage encoded superoxide dismutase [cu-zn] 1 precursor (ec 1.15.1.1) (sodCI)		superoxide dismutase CuZn precursor (SW:SODC_SALTY); important virulence function; implicated in defence against macrophage killing	
SL0984	696		+	1087228	1087923		STM1045	STM14_1185	STM474_1036	STMUK_1013	STMMW_10561	bacteriophage minor tail protein		similar to lambda phage L tail component (gi|2232360)	
SL0985	738		+	1087933	1088670		STM1046	STM14_1186	STM474_1037	STMUK_1014	STMMW_10571	hypothetical bacteriophage minor tail protein			
SL0986	705		+	1088568	1089272		STM1047	STM14_1187	STM474_1038	STMUK_1015		Tail Assembly Protein			
SL0987	3351		+	1089344	1092694		STM1048	STM14_1188	STM474_1039	STMUK_1016	STMMW_10591	hypothetical Host Specificity Protein		similar to phage lambda protein J	
SL0988	2208		+	1093029	1095236		STM1049	-	STM474_1041	-		hypothetical Tail Fiber Protein		similar to E. coli membrane protein (AAC74454.1)	
SL0989	582		+	1095236	1095817		STM1050	STM14_1191	STM474_1042	STMUK_1019	STMMW_10611	bacteriophage tail fibre assembly protein		similar to tail fiber assembly protein (gi|8927433)	
SL0990	216		-	1095821	1096036		-	-	-	-	STMMW_10621	phage tail fibre (fragment)			
SL0991	969	sseI	+	1096293	1097261	gtgB; srfH	STM1051	STM14_1193	STM474_1043	STMUK_1020	STMMW_10631	"Type III secretion system effector protein, contributes to host-cell dissemination"	secreted effector protein	secreted effector I (gi|8927434); secreted by SPI-2; colocalizes with host polymerizing actin cytoskeleton	Gene ID: 1252569
SL0992	419		+	1097359	1097777		STM1052	-	-	-		transposase (remnant)			
SL0993	627		-	1097909	1098535		STM1053	STM14_1195	STM474_1044	STMUK_1022	STMMW_10661	predicted bacteriophage protein	hypothetical protein		
SL0994	300		-	1098604	1098903		STM1054	STM14_1196	STM474_1046	STMUK_1023	STMMW_10671	predicted bacteriophage protein (pseudogene)	hypothetical protein		
